month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,_source_file,_row_id,_fail_reason,remaining_lease_years,remaining_lease_months,remaining_lease_display,price_per_sqm,is_price_anomaly,price_anomaly_reason,resale_identifier
2012-03,BISHAN,MULTI-GENERATION,137,BISHAN ST 12,01 TO 05,165,Multi Generation,1987,900000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,302,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-03,TAMPINES,MULTI-GENERATION,460,TAMPINES ST 42,01 TO 05,166,Multi Generation,1987,760000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,1889,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-04,YISHUN,MULTI-GENERATION,633,YISHUN ST 61,06 TO 10,164,Multi Generation,1987,720000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,4515,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-05,BISHAN,MULTI-GENERATION,148,BISHAN ST 11,06 TO 10,134,Multi Generation,1987,790000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,4783,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-05,YISHUN,MULTI-GENERATION,633,YISHUN ST 61,01 TO 05,171,Multi Generation,1987,680000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,6835,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-05,YISHUN,MULTI-GENERATION,605,YISHUN ST 61,06 TO 10,163,Multi Generation,1988,708000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,6837,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-06,TAMPINES,MULTI-GENERATION,460,TAMPINES ST 42,07 TO 09,132,Multi Generation,1987,610000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,8448,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-07,HOUGANG,5 ROOM,312,HOUGANG AVE 5,01 TO 03,133,Improved-Maisonette,1983,628000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,9716,flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-08,HOUGANG,5 ROOM,312,HOUGANG AVE 5,01 TO 03,137,Improved-Maisonette,1983,668000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,11844,flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-09,BISHAN,MULTI-GENERATION,148,BISHAN ST 11,04 TO 06,165,Multi Generation,1987,905000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,13323,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-09,BISHAN,MULTI-GENERATION,137,BISHAN ST 12,07 TO 09,165,Multi Generation,1987,980000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,13325,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-09,TAMPINES,EXECUTIVE,498E,TAMPINES ST 45,07 TO 09,147,Premium Maisonette,1997,715000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,14516,flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-10,TAMPINES,EXECUTIVE,498L,TAMPINES ST 45,07 TO 09,147,Premium Maisonette,1997,735000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,16433,flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-10,TAMPINES,EXECUTIVE,498H,TAMPINES ST 45,07 TO 09,147,Premium Maisonette,1997,750000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,16435,flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-11,TAMPINES,MULTI-GENERATION,460,TAMPINES ST 42,04 TO 06,166,Multi Generation,1987,970000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,18200,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2012-12,BISHAN,MULTI-GENERATION,148,BISHAN ST 11,04 TO 06,134,Multi Generation,1987,810000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,18695,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-01,HOUGANG,5 ROOM,122,HOUGANG AVE 1,01 TO 03,133,Improved-Maisonette,1983,700000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,20607,flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-01,TAMPINES,MULTI-GENERATION,460,TAMPINES ST 42,01 TO 03,166,Multi Generation,1987,790000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,21298,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-01,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,04 TO 06,151,Multi Generation,1987,710000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,21643,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-03,HOUGANG,5 ROOM,122,HOUGANG AVE 1,01 TO 03,133,Improved-Maisonette,1983,700000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,23057,flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-03,YISHUN,MULTI-GENERATION,633,YISHUN ST 61,04 TO 06,159,Multi Generation,1987,726000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,23835,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-04,TAMPINES,MULTI-GENERATION,454,TAMPINES ST 42,10 TO 12,166,Multi Generation,1987,920000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,25204,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-06,HOUGANG,5 ROOM,312,HOUGANG AVE 5,01 TO 03,133,Improved-Maisonette,1983,642000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,27657,flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-06,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,04 TO 06,164,Multi Generation,1987,767000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,28449,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
2013-08,YISHUN,MULTI-GENERATION,605,YISHUN ST 61,10 TO 12,147,Multi Generation,1988,753888,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,31287,flat_type is null or a statistical rarity/outlier (<0.05% frequency); flat_model is null or a statistical rarity/outlier (<0.05% frequency),,,,,,,
