month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,_source_file,_row_id,remaining_lease_years,remaining_lease_months,remaining_lease_display,price_per_sqm,is_price_anomaly,price_anomaly_reason,resale_identifier,resale_identifier_hash
2012-03,ANG MO KIO,2 ROOM,172,ANG MO KIO AVE 4,06 TO 10,45,Improved,1986,250000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,1,58,4,58 years 04 months,5555.555555555556,False,,S1722503A,e1a40ad1366d04ff7021389776e74b0a561c36502df3ca61cc4ee7490e75618c
2012-03,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,01 TO 05,44,Improved,1980,265000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,2,52,4,52 years 04 months,6022.727272727273,False,,S5102503A,d268acdbe20fe8777a8bf477ea75783e175a22d15886afec3ed1331634ad17d4
2012-03,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,06 TO 10,68,New Generation,1980,315000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,3,52,4,52 years 04 months,4632.35294117647,False,,S6103603A,449c935a78ba1fcc96a9cb584bd9b06826631f8e8a25da65620c0800c4e5cb97
2012-03,ANG MO KIO,3 ROOM,474,ANG MO KIO AVE 10,01 TO 05,67,New Generation,1984,320000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,4,56,4,56 years 04 months,4776.119402985075,False,,S4743603A,76535e7bb8667e579ed798753cb0e6ffe6e93726e42bd3925612ad4c4bf56f53
2012-03,ANG MO KIO,3 ROOM,154,ANG MO KIO AVE 5,01 TO 05,68,New Generation,1981,321000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,6,53,4,53 years 04 months,4720.588235294118,False,,S1543603A,a1c1484b1ce2f2a698d91801feda57aa4a9cfa7b0e9a70cf13b10c3f2a558e89
2012-03,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,01 TO 05,67,New Generation,1978,323000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,7,50,4,50 years 04 months,4820.895522388059,False,,S1103603A,bae3612843f5eb7a0ac20f5bd650743ad05a00b90c815b67fb0458837768d5ec
2012-03,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,01 TO 05,67,New Generation,1979,325000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,8,51,4,51 years 04 months,4850.746268656716,False,,S4453603A,a2a9e524d5438708068165e61838b29ef783c1f30472ba4d3b03b3db754e88b4
2012-03,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,11 TO 15,67,New Generation,1979,328000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,9,51,4,51 years 04 months,4895.522388059701,False,,S4763603A,6aed3e0ec61b4cf45a7e996899edcb16dad437406ec9f798bf2e0118e3df5ace
2012-03,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,01 TO 05,67,New Generation,1985,330000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,10,57,4,57 years 04 months,4925.373134328358,False,,S6313603A,2a131e32b3826d81c87bc70eef87c066b7961082ad9f84bf1464a0ef9b962990
2012-03,ANG MO KIO,3 ROOM,155,ANG MO KIO AVE 4,11 TO 15,68,New Generation,1981,331000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,11,53,4,53 years 04 months,4867.64705882353,False,,S1553603A,1af05c67c79b1834c53c90f4aa87f3e7d012a93e81840519138b857184c36ff6
2012-03,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,06 TO 10,67,New Generation,1980,332000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,12,52,4,52 years 04 months,4955.223880597015,False,,S5603603A,069db771af08c4c3224cf9fba622a36f20887e1527469bd27879587d17a37c90
2012-03,ANG MO KIO,3 ROOM,405,ANG MO KIO AVE 10,06 TO 10,67,New Generation,1979,333000,Resale_Flat_Prices__Based_on_Registration_Date___From_Mar_2012_to_Dec_2014.csv,14,51,4,51 years 04 months,4970.149253731343,False,,S4053603A,652beec17dd8d9fb8886ab534e564adab6298c282803ac097aa13fda95b22c63
